NomeMunicipio,NomeMeso
Adamantina,Presidente Prudente
Adolfo,São José do Rio Preto
Aguaí,Campinas
Águas da Prata,Campinas
Águas de Lindóia,Campinas
Águas de Santa Bárbara,Bauru
Águas de São Pedro,Piracicaba
Agudos,Bauru
Alambari,Itapetininga
Alfredo Marcondes,Presidente Prudente
Altair,São José do Rio Preto
Altinópolis,Ribeirão Preto
Alto Alegre,Araçatuba
Alumínio,Macro Metropolitana Paulista
Álvares Florence,São José do Rio Preto
Álvares Machado,Presidente Prudente
Álvaro de Carvalho,Marília
Alvinlândia,Marília
Americana,Campinas
Américo Brasiliense,Araraquara
Américo de Campos,São José do Rio Preto
Amparo,Campinas
Analândia,Araraquara
Andradina,Araçatuba
Angatuba,Itapetininga
Anhembi,Bauru
Anhumas,Presidente Prudente
Aparecida,Vale do Paraíba Paulista
Aparecida d'Oeste,São José do Rio Preto
Apiaí,Itapetininga
Araçariguama,Macro Metropolitana Paulista
Araçatuba,Araçatuba
Araçoiaba da Serra,Macro Metropolitana Paulista
Aramina,Ribeirão Preto
Arandu,Bauru
Arapeí,Vale do Paraíba Paulista
Araraquara,Araraquara
Araras,Piracicaba
Arco-Íris,Marília
Arealva,Bauru
Areias,Vale do Paraíba Paulista
Areiópolis,Bauru
Ariranha,São José do Rio Preto
Artur Nogueira,Campinas
Arujá,Metropolitana de São Paulo
Aspásia,São José do Rio Preto
Assis,Assis
Atibaia,Macro Metropolitana Paulista
Auriflama,São José do Rio Preto
Avaí,Bauru
Avanhandava,Araçatuba
Avaré,Bauru
Bady Bassitt,São José do Rio Preto
Balbinos,Bauru
Bálsamo,São José do Rio Preto
Bananal,Vale do Paraíba Paulista
Barão de Antonina,Itapetininga
Barbosa,Araçatuba
Bariri,Bauru
Barra Bonita,Bauru
Barra do Chapéu,Itapetininga
Barra do Turvo,Litoral Sul Paulista
Barretos,Ribeirão Preto
Barrinha,Ribeirão Preto
Barueri,Metropolitana de São Paulo
Bastos,Marília
Batatais,Ribeirão Preto
Bauru,Bauru
Bebedouro,Ribeirão Preto
Bento de Abreu,Araçatuba
Bernardino de Campos,Assis
Bertioga,Metropolitana de São Paulo
Bilac,Araçatuba
Birigui,Araçatuba
Biritiba-Mirim,Metropolitana de São Paulo
Boa Esperança do Sul,Araraquara
Bocaina,Bauru
Bofete,Bauru
Boituva,Itapetininga
Bom Jesus dos Perdões,Macro Metropolitana Paulista
Bom Sucesso de Itararé,Itapetininga
Borá,Assis
Boracéia,Bauru
Borborema,Araraquara
Borebi,Bauru
Botucatu,Bauru
Bragança Paulista,Macro Metropolitana Paulista
Braúna,Araçatuba
Brejo Alegre,Araçatuba
Brodowski,Ribeirão Preto
Brotas,Piracicaba
Buri,Itapetininga
Buritama,Araçatuba
Buritizal,Ribeirão Preto
Cabrália Paulista,Bauru
Cabreúva,Macro Metropolitana Paulista
Caçapava,Vale do Paraíba Paulista
Cachoeira Paulista,Vale do Paraíba Paulista
Caconde,Campinas
Cafelândia,Bauru
Caiabu,Presidente Prudente
Caieiras,Metropolitana de São Paulo
Caiuá,Presidente Prudente
Cajamar,Metropolitana de São Paulo
Cajati,Litoral Sul Paulista
Cajobi,São José do Rio Preto
Cajuru,Ribeirão Preto
Campina do Monte Alegre,Itapetininga
Campinas,Campinas
Campo Limpo Paulista,Macro Metropolitana Paulista
Campos do Jordão,Vale do Paraíba Paulista
Campos Novos Paulista,Assis
Cananéia,Litoral Sul Paulista
Canas,Vale do Paraíba Paulista
Cândido Mota,Assis
Cândido Rodrigues,Ribeirão Preto
Canitar,Assis
Capão Bonito,Itapetininga
Capela do Alto,Macro Metropolitana Paulista
Capivari,Piracicaba
Caraguatatuba,Vale do Paraíba Paulista
Carapicuíba,Metropolitana de São Paulo
Cardoso,São José do Rio Preto
Casa Branca,Campinas
Cássia dos Coqueiros,Ribeirão Preto
Castilho,Araçatuba
Catanduva,São José do Rio Preto
Catiguá,São José do Rio Preto
Cedral,São José do Rio Preto
Cerqueira César,Bauru
Cerquilho,Itapetininga
Cesário Lange,Itapetininga
Charqueada,Piracicaba
Clementina,Araçatuba
Colina,Ribeirão Preto
Colômbia,Ribeirão Preto
Conchal,Piracicaba
Conchas,Bauru
Cordeirópolis,Piracicaba
Coroados,Araçatuba
Coronel Macedo,Itapetininga
Corumbataí,Piracicaba
Cosmópolis,Campinas
Cosmorama,São José do Rio Preto
Cotia,Metropolitana de São Paulo
Cravinhos,Ribeirão Preto
Cristais Paulista,Ribeirão Preto
Cruzália,Assis
Cruzeiro,Vale do Paraíba Paulista
Cubatão,Metropolitana de São Paulo
Cunha,Vale do Paraíba Paulista
Descalvado,Araraquara
Diadema,Metropolitana de São Paulo
Dirce Reis,São José do Rio Preto
Divinolândia,Campinas
Dobrada,Araraquara
Dois Córregos,Bauru
Dolcinópolis,São José do Rio Preto
Dourado,Araraquara
Dracena,Presidente Prudente
Duartina,Bauru
Dumont,Ribeirão Preto
Echaporã,Marília
Eldorado,Litoral Sul Paulista
Elias Fausto,Campinas
Elisiário,São José do Rio Preto
Embaúba,São José do Rio Preto
Embu das Artes,Metropolitana de São Paulo
Embu-Guaçu,Metropolitana de São Paulo
Emilianópolis,Presidente Prudente
Engenheiro Coelho,Campinas
Espírito Santo do Pinhal,Campinas
Espírito Santo do Turvo,Assis
Estrela d'Oeste,São José do Rio Preto
Estrela do Norte,Presidente Prudente
Euclides da Cunha Paulista,Presidente Prudente
Fartura,Assis
Fernandópolis,São José do Rio Preto
Fernando Prestes,Ribeirão Preto
Fernão,Marília
Ferraz de Vasconcelos,Metropolitana de São Paulo
Flora Rica,Presidente Prudente
Floreal,São José do Rio Preto
Flórida Paulista,Presidente Prudente
Florínia,Assis
Franca,Ribeirão Preto
Francisco Morato,Metropolitana de São Paulo
Franco da Rocha,Metropolitana de São Paulo
Gabriel Monteiro,Araçatuba
Gália,Marília
Garça,Marília
Gastão Vidigal,São José do Rio Preto
Gavião Peixoto,Araraquara
General Salgado,São José do Rio Preto
Getulina,Bauru
Glicério,Araçatuba
Guaiçara,Bauru
Guaimbê,Bauru
Guaíra,Ribeirão Preto
Guapiaçu,São José do Rio Preto
Guapiara,Itapetininga
Guará,Ribeirão Preto
Guaraçaí,Araçatuba
Guaraci,São José do Rio Preto
Guarani d'Oeste,São José do Rio Preto
Guarantã,Bauru
Guararapes,Araçatuba
Guararema,Metropolitana de São Paulo
Guaratinguetá,Vale do Paraíba Paulista
Guareí,Itapetininga
Guariba,Ribeirão Preto
Guarujá,Metropolitana de São Paulo
Guarulhos,Metropolitana de São Paulo
Guatapará,Ribeirão Preto
Guzolândia,São José do Rio Preto
Herculândia,Marília
Holambra,Campinas
Hortolândia,Campinas
Iacanga,Bauru
Iacri,Marília
Iaras,Bauru
Ibaté,Araraquara
Ibirá,São José do Rio Preto
Ibirarema,Assis
Ibitinga,Araraquara
Ibiúna,Macro Metropolitana Paulista
Icém,São José do Rio Preto
Iepê,Assis
Igaraçu do Tietê,Bauru
Igarapava,Ribeirão Preto
Igaratá,Vale do Paraíba Paulista
Iguape,Litoral Sul Paulista
Ilhabela,Vale do Paraíba Paulista
Ilha Comprida,Litoral Sul Paulista
Ilha Solteira,Araçatuba
Indaiatuba,Campinas
Indiana,Presidente Prudente
Indiaporã,São José do Rio Preto
Inúbia Paulista,Presidente Prudente
Ipaussu,Assis
Iperó,Macro Metropolitana Paulista
Ipeúna,Piracicaba
Ipiguá,São José do Rio Preto
Iporanga,Itapetininga
Ipuã,Ribeirão Preto
Iracemápolis,Piracicaba
Irapuã,São José do Rio Preto
Irapuru,Presidente Prudente
Itaberá,Itapetininga
Itaí,Bauru
Itajobi,São José do Rio Preto
Itaju,Bauru
Itanhaém,Litoral Sul Paulista
Itaóca,Itapetininga
Itapecerica da Serra,Metropolitana de São Paulo
Itapetininga,Itapetininga
Itapeva,Itapetininga
Itapevi,Metropolitana de São Paulo
Itapira,Campinas
Itapirapuã Paulista,Itapetininga
Itápolis,Araraquara
Itaporanga,Itapetininga
Itapuí,Bauru
Itapura,Araçatuba
Itaquaquecetuba,Metropolitana de São Paulo
Itararé,Itapetininga
Itariri,Litoral Sul Paulista
Itatiba,Macro Metropolitana Paulista
Itatinga,Bauru
Itirapina,Piracicaba
Itirapuã,Ribeirão Preto
Itobi,Campinas
Itu,Macro Metropolitana Paulista
Itupeva,Macro Metropolitana Paulista
Ituverava,Ribeirão Preto
Jaborandi,Ribeirão Preto
Jaboticabal,Ribeirão Preto
Jacareí,Vale do Paraíba Paulista
Jaci,São José do Rio Preto
Jacupiranga,Litoral Sul Paulista
Jaguariúna,Campinas
Jales,São José do Rio Preto
Jambeiro,Vale do Paraíba Paulista
Jandira,Metropolitana de São Paulo
Jardinópolis,Ribeirão Preto
Jarinu,Macro Metropolitana Paulista
Jaú,Bauru
Jeriquara,Ribeirão Preto
Joanópolis,Macro Metropolitana Paulista
João Ramalho,Presidente Prudente
José Bonifácio,São José do Rio Preto
Júlio Mesquita,Bauru
Jumirim,Piracicaba
Jundiaí,Macro Metropolitana Paulista
Junqueirópolis,Presidente Prudente
Juquiá,Litoral Sul Paulista
Juquitiba,Metropolitana de São Paulo
Lagoinha,Vale do Paraíba Paulista
Laranjal Paulista,Itapetininga
Lavínia,Araçatuba
Lavrinhas,Vale do Paraíba Paulista
Leme,Piracicaba
Lençóis Paulista,Bauru
Limeira,Piracicaba
Lindóia,Campinas
Lins,Bauru
Lorena,Vale do Paraíba Paulista
Lourdes,Araçatuba
Louveira,Macro Metropolitana Paulista
Lucélia,Presidente Prudente
Lucianópolis,Bauru
Luís Antônio,Ribeirão Preto
Luiziânia,Araçatuba
Lupércio,Marília
Lutécia,Assis
Macatuba,Bauru
Macaubal,São José do Rio Preto
Macedônia,São José do Rio Preto
Magda,São José do Rio Preto
Mairinque,Macro Metropolitana Paulista
Mairiporã,Metropolitana de São Paulo
Manduri,Assis
Marabá Paulista,Presidente Prudente
Maracaí,Assis
Marapoama,São José do Rio Preto
Mariápolis,Presidente Prudente
Marília,Marília
Marinópolis,São José do Rio Preto
Martinópolis,Presidente Prudente
Matão,Araraquara
Mauá,Metropolitana de São Paulo
Mendonça,São José do Rio Preto
Meridiano,São José do Rio Preto
Mesópolis,São José do Rio Preto
Miguelópolis,Ribeirão Preto
Mineiros do Tietê,Bauru
Miracatu,Litoral Sul Paulista
Mira Estrela,São José do Rio Preto
Mirandópolis,Araçatuba
Mirante do Paranapanema,Presidente Prudente
Mirassol,São José do Rio Preto
Mirassolândia,São José do Rio Preto
Mococa,Campinas
Mogi das Cruzes,Metropolitana de São Paulo
Mogi Guaçu,Campinas
Mogi Mirim,Campinas
Mombuca,Piracicaba
Monções,São José do Rio Preto
Mongaguá,Litoral Sul Paulista
Monte Alegre do Sul,Campinas
Monte Alto,Ribeirão Preto
Monte Aprazível,São José do Rio Preto
Monte Azul Paulista,Ribeirão Preto
Monte Castelo,Presidente Prudente
Monteiro Lobato,Vale do Paraíba Paulista
Monte Mor,Campinas
Morro Agudo,Ribeirão Preto
Morungaba,Macro Metropolitana Paulista
Motuca,Araraquara
Murutinga do Sul,Araçatuba
Nantes,Assis
Narandiba,Presidente Prudente
Natividade da Serra,Vale do Paraíba Paulista
Nazaré Paulista,Macro Metropolitana Paulista
Neves Paulista,São José do Rio Preto
Nhandeara,São José do Rio Preto
Nipoã,São José do Rio Preto
Nova Aliança,São José do Rio Preto
Nova Campina,Itapetininga
Nova Canaã Paulista,São José do Rio Preto
Nova Castilho,São José do Rio Preto
Nova Europa,Araraquara
Nova Granada,São José do Rio Preto
Nova Guataporanga,Presidente Prudente
Nova Independência,Araçatuba
Novais,São José do Rio Preto
Nova Luzitânia,São José do Rio Preto
Nova Odessa,Campinas
Novo Horizonte,São José do Rio Preto
Nuporanga,Ribeirão Preto
Ocauçu,Marília
Óleo,Assis
Olímpia,São José do Rio Preto
Onda Verde,São José do Rio Preto
Oriente,Marília
Orindiúva,São José do Rio Preto
Orlândia,Ribeirão Preto
Osasco,Metropolitana de São Paulo
Oscar Bressane,Marília
Osvaldo Cruz,Presidente Prudente
Ourinhos,Assis
Ouroeste,São José do Rio Preto
Ouro Verde,Presidente Prudente
Pacaembu,Presidente Prudente
Palestina,São José do Rio Preto
Palmares Paulista,São José do Rio Preto
Palmeira d'Oeste,São José do Rio Preto
Palmital,Assis
Panorama,Presidente Prudente
Paraguaçu Paulista,Assis
Paraibuna,Vale do Paraíba Paulista
Paraíso,São José do Rio Preto
Paranapanema,Bauru
Paranapuã,São José do Rio Preto
Parapuã,Presidente Prudente
Pardinho,Bauru
Pariquera-Açu,Litoral Sul Paulista
Parisi,São José do Rio Preto
Patrocínio Paulista,Ribeirão Preto
Paulicéia,Presidente Prudente
Paulínia,Campinas
Paulistânia,Bauru
Paulo de Faria,São José do Rio Preto
Pederneiras,Bauru
Pedra Bela,Campinas
Pedranópolis,São José do Rio Preto
Pedregulho,Ribeirão Preto
Pedreira,Campinas
Pedrinhas Paulista,Assis
Pedro de Toledo,Litoral Sul Paulista
Penápolis,Araçatuba
Pereira Barreto,Araçatuba
Pereiras,Itapetininga
Peruíbe,Litoral Sul Paulista
Piacatu,Araçatuba
Piedade,Macro Metropolitana Paulista
Pilar do Sul,Macro Metropolitana Paulista
Pindamonhangaba,Vale do Paraíba Paulista
Pindorama,São José do Rio Preto
Pinhalzinho,Campinas
Piquerobi,Presidente Prudente
Piquete,Vale do Paraíba Paulista
Piracaia,Macro Metropolitana Paulista
Piracicaba,Piracicaba
Piraju,Assis
Pirajuí,Bauru
Pirangi,Ribeirão Preto
Pirapora do Bom Jesus,Metropolitana de São Paulo
Pirapozinho,Presidente Prudente
Pirassununga,Campinas
Piratininga,Bauru
Pitangueiras,Ribeirão Preto
Planalto,São José do Rio Preto
Platina,Assis
Poá,Metropolitana de São Paulo
Poloni,São José do Rio Preto
Pompéia,Marília
Pongaí,Bauru
Pontal,Ribeirão Preto
Pontalinda,São José do Rio Preto
Pontes Gestal,São José do Rio Preto
Populina,São José do Rio Preto
Porangaba,Itapetininga
Porto Feliz,Macro Metropolitana Paulista
Porto Ferreira,Campinas
Potim,Vale do Paraíba Paulista
Potirendaba,São José do Rio Preto
Pracinha,Presidente Prudente
Pradópolis,Ribeirão Preto
Praia Grande,Metropolitana de São Paulo
Pratânia,Bauru
Presidente Alves,Bauru
Presidente Bernardes,Presidente Prudente
Presidente Epitácio,Presidente Prudente
Presidente Prudente,Presidente Prudente
Presidente Venceslau,Presidente Prudente
Promissão,Bauru
Quadra,Itapetininga
Quatá,Assis
Queiroz,Marília
Queluz,Vale do Paraíba Paulista
Quintana,Marília
Rafard,Piracicaba
Rancharia,Presidente Prudente
Redenção da Serra,Vale do Paraíba Paulista
Regente Feijó,Presidente Prudente
Reginópolis,Bauru
Registro,Litoral Sul Paulista
Restinga,Ribeirão Preto
Ribeira,Itapetininga
Ribeirão Bonito,Araraquara
Ribeirão Branco,Itapetininga
Ribeirão Corrente,Ribeirão Preto
Ribeirão do Sul,Assis
Ribeirão dos Índios,Presidente Prudente
Ribeirão Grande,Itapetininga
Ribeirão Pires,Metropolitana de São Paulo
Ribeirão Preto,Ribeirão Preto
Riversul,Itapetininga
Rifaina,Ribeirão Preto
Rincão,Araraquara
Rinópolis,Presidente Prudente
Rio Claro,Piracicaba
Rio das Pedras,Piracicaba
Rio Grande da Serra,Metropolitana de São Paulo
Riolândia,São José do Rio Preto
Rosana,Presidente Prudente
Roseira,Vale do Paraíba Paulista
Rubiácea,Araçatuba
Rubinéia,São José do Rio Preto
Sabino,Bauru
Sagres,Presidente Prudente
Sales,São José do Rio Preto
Sales Oliveira,Ribeirão Preto
Salesópolis,Metropolitana de São Paulo
Salmourão,Presidente Prudente
Saltinho,Piracicaba
Salto,Macro Metropolitana Paulista
Salto de Pirapora,Macro Metropolitana Paulista
Salto Grande,Assis
Sandovalina,Presidente Prudente
Santa Adélia,São José do Rio Preto
Santa Albertina,São José do Rio Preto
Santa Bárbara d'Oeste,Campinas
Santa Branca,Vale do Paraíba Paulista
Santa Clara d'Oeste,São José do Rio Preto
Santa Cruz da Conceição,Piracicaba
Santa Cruz da Esperança,Ribeirão Preto
Santa Cruz das Palmeiras,Campinas
Santa Cruz do Rio Pardo,Assis
Santa Ernestina,Ribeirão Preto
Santa Fé do Sul,São José do Rio Preto
Santa Gertrudes,Piracicaba
Santa Isabel,Metropolitana de São Paulo
Santa Lúcia,Araraquara
Santa Maria da Serra,Piracicaba
Santa Mercedes,Presidente Prudente
Santana da Ponte Pensa,São José do Rio Preto
Santana de Parnaíba,Metropolitana de São Paulo
Santa Rita d'Oeste,São José do Rio Preto
Santa Rita do Passa Quatro,Ribeirão Preto
Santa Rosa de Viterbo,Ribeirão Preto
Santa Salete,São José do Rio Preto
Santo Anastácio,Presidente Prudente
Santo André,Metropolitana de São Paulo
Santo Antônio da Alegria,Ribeirão Preto
Santo Antônio de Posse,Campinas
Santo Antônio do Aracanguá,Araçatuba
Santo Antônio do Jardim,Campinas
Santo Antônio do Pinhal,Vale do Paraíba Paulista
Santo Expedito,Presidente Prudente
Santópolis do Aguapeí,Araçatuba
Santos,Metropolitana de São Paulo
São Bento do Sapucaí,Vale do Paraíba Paulista
São Bernardo do Campo,Metropolitana de São Paulo
São Caetano do Sul,Metropolitana de São Paulo
São Carlos,Araraquara
São Francisco,São José do Rio Preto
São João da Boa Vista,Campinas
São João das Duas Pontes,São José do Rio Preto
São João de Iracema,São José do Rio Preto
São João do Pau d'Alho,Presidente Prudente
São Joaquim da Barra,Ribeirão Preto
São José da Bela Vista,Ribeirão Preto
São José do Barreiro,Vale do Paraíba Paulista
São José do Rio Pardo,Campinas
São José do Rio Preto,São José do Rio Preto
São José dos Campos,Vale do Paraíba Paulista
São Lourenço da Serra,Metropolitana de São Paulo
São Luís do Paraitinga,Vale do Paraíba Paulista
São Manuel,Bauru
São Miguel Arcanjo,Macro Metropolitana Paulista
São Paulo,Metropolitana de São Paulo
São Pedro,Piracicaba
São Pedro do Turvo,Assis
São Roque,Macro Metropolitana Paulista
São Sebastião,Vale do Paraíba Paulista
São Sebastião da Grama,Campinas
São Simão,Ribeirão Preto
São Vicente,Metropolitana de São Paulo
Sarapuí,Macro Metropolitana Paulista
Sarutaiá,Assis
Sebastianópolis do Sul,São José do Rio Preto
Serra Azul,Ribeirão Preto
Serrana,Ribeirão Preto
Serra Negra,Campinas
Sertãozinho,Ribeirão Preto
Sete Barras,Litoral Sul Paulista
Severínia,São José do Rio Preto
Silveiras,Vale do Paraíba Paulista
Socorro,Campinas
Sorocaba,Macro Metropolitana Paulista
Sud Mennucci,Araçatuba
Sumaré,Campinas
Suzano,Metropolitana de São Paulo
Suzanápolis,Araçatuba
Tabapuã,São José do Rio Preto
Tabatinga,Araraquara
Taboão da Serra,Metropolitana de São Paulo
Taciba,Presidente Prudente
Taguaí,Assis
Taiaçu,Ribeirão Preto
Taiúva,Ribeirão Preto
Tambaú,Campinas
Tanabi,São José do Rio Preto
Tapiraí,Macro Metropolitana Paulista
Tapiratiba,Campinas
Taquaral,Ribeirão Preto
Taquaritinga,Ribeirão Preto
Taquarituba,Itapetininga
Taquarivaí,Itapetininga
Tarabai,Presidente Prudente
Tarumã,Assis
Tatuí,Itapetininga
Taubaté,Vale do Paraíba Paulista
Tejupá,Assis
Teodoro Sampaio,Presidente Prudente
Terra Roxa,Ribeirão Preto
Tietê,Piracicaba
Timburi,Assis
Torre de Pedra,Itapetininga
Torrinha,Piracicaba
Trabiju,Araraquara
Tremembé,Vale do Paraíba Paulista
Três Fronteiras,São José do Rio Preto
Tuiuti,Macro Metropolitana Paulista
Tupã,Marília
Tupi Paulista,Presidente Prudente
Turiúba,Araçatuba
Turmalina,São José do Rio Preto
Ubarana,São José do Rio Preto
Ubatuba,Vale do Paraíba Paulista
Ubirajara,Bauru
Uchoa,São José do Rio Preto
União Paulista,São José do Rio Preto
Urânia,São José do Rio Preto
Uru,Bauru
Urupês,São José do Rio Preto
Valentim Gentil,São José do Rio Preto
Valinhos,Campinas
Valparaíso,Araçatuba
Vargem,Macro Metropolitana Paulista
Vargem Grande do Sul,Campinas
Vargem Grande Paulista,Metropolitana de São Paulo
Várzea Paulista,Macro Metropolitana Paulista
Vera Cruz,Marília
Vinhedo,Campinas
Viradouro,Ribeirão Preto
Vista Alegre do Alto,Ribeirão Preto
Vitória Brasil,São José do Rio Preto
Votorantim,Macro Metropolitana Paulista
Votuporanga,São José do Rio Preto
Zacarias,São José do Rio Preto
Chavantes,Assis
Estiva Gerbi,Campinas
